Semivariogram           tail:NS:Per						 head:NS:Per						  direction  1 
   1        0.000      0.00000       62        0.04657        0.04657
   2      538.355      0.56223        5       -0.42016        0.23149
   3     1235.680      0.33845       44       -0.03454       -0.14160
   4     2032.091      0.30934       70        0.06163       -0.13055
   5     2761.328      0.36420       56        0.15170        0.01990
   6     4094.814      0.45554       95        0.19654       -0.01682
   7     5204.253      0.65869       98        0.37898       -0.05584
   8     5914.324      0.68583      116        0.34766       -0.16365
   9     6807.356      0.62621       82        0.26231       -0.11359
Semivariogram           tail:NS:Per						 head:NS:Per						  direction  2 
   1        0.000      0.00000       62        0.04657        0.04657
   2      518.944      0.16078        7        0.36635        0.38534
   3     1208.884      0.59090       55       -0.04465        0.22725
   4     1956.022      0.77566       60       -0.25610        0.32067
   5     2821.548      0.77992       47       -0.30175        0.44268
   6     4163.885      1.05718       95       -0.30059        0.52463
   7     5058.438      1.16958      110       -0.59599        0.49962
   8     5822.341      1.59396       97       -0.90054        0.50478
   9     6924.389      1.76563       88       -1.11931        0.51386
